0,clean\Cry\babycry_ing_242.wav
0,clean\Cry\001fbb80-19_7.wav
0,clean\Cry\crynight_151.wav
0,clean\Cry\crynight_35.wav
0,clean\Cry\babycry_ing_18.wav
0,clean\Cry\babycry_ing_667.wav
0,clean\Cry\3634d9ca-17_2.wav
0,clean\Cry\crynight_10.wav
0,clean\Cry\babycry_ing_256.wav
0,clean\Cry\babycry_ing_482.wav
0,clean\Cry\babycry_ing_13.wav
0,clean\Cry\babycry_ing_410.wav
0,clean\Cry\ab0fe72e-8_0.wav
0,clean\Cry\babycry_ing_599.wav
0,clean\Cry\babycry_ing_523.wav
0,clean\Cry\ed89829f-9_19.wav
0,clean\Cry\soundcrybaby_54.wav
0,clean\Cry\babycry_ing_424.wav
0,clean\Cry\64931613-6_3.wav
0,clean\Cry\babycry_ing_78.wav
0,clean\Cry\babycry_ing_213.wav
0,clean\Cry\crynight_80.wav
0,clean\Cry\ed89829f-9_1.wav
0,clean\Cry\soundcrybaby_34.wav
0,clean\Cry\soundcrybaby_56.wav
0,clean\Cry\babycry_ing_493.wav
0,clean\Cry\babycry_ing_152.wav
0,clean\Cry\2-151079-A_0.wav
0,clean\Cry\soundcrybaby_83.wav
0,clean\Cry\babycry_ing_329.wav
0,clean\Cry\babycry_ing_451.wav
0,clean\Cry\crynight_93.wav
0,clean\Cry\crynight_59.wav
0,clean\Cry\crynight_112.wav
0,clean\Cry\V_2017-04-01+08_06_22=0_30mp3_9_0.wav
0,clean\Cry\babycry_ing_524.wav
0,clean\Cry\babycry_ing_393.wav
0,clean\Cry\crynight_72.wav
0,clean\Cry\crynight_129.wav
0,clean\Cry\babycry_ing_556.wav
0,clean\Cry\soundcrybaby_35.wav
0,clean\Cry\babycry_ing_707.wav
0,clean\Cry\babycry_ing_52.wav
0,clean\Cry\babycry_ing_30.wav
0,clean\Cry\babycry_ing_384.wav
0,clean\Cry\babycry_ing_682.wav
0,clean\Cry\babycry_ing_308.wav
0,clean\Cry\babycry_ing_234.wav
0,clean\Cry\crynight_9.wav
0,clean\Cry\babycry_ing_534.wav
0,clean\Cry\babycry_ing_705.wav
0,clean\Cry\babycry_ing_566.wav
0,clean\Cry\babycry_ing_231.wav
0,clean\Cry\3-151081-B_0.wav
0,clean\Cry\babycry_ing_320.wav
0,clean\Cry\babycry_ing_449.wav
0,clean\Cry\babycry_ing_170.wav
0,clean\Cry\babycry_ing_92.wav
0,clean\Cry\crynight_98.wav
0,clean\Cry\babycry_ing_23.wav
0,clean\Cry\3ee5ae59-14_3.wav
0,clean\Cry\babycry_ing_177.wav
0,clean\Cry\babycry_ing_637.wav
0,clean\Cry\babycry_ing_558.wav
0,clean\Cry\babycry_ing_158.wav
0,clean\Cry\3-152007-E_0.wav
0,clean\Cry\Louise_01m4a_12_0.wav
0,clean\Cry\5-198411-F_0.wav
